Process	Genes
positive regulation of neuron differentiation	ABL2 ACSL6 ACTR3 ADCYAP1 ADRA2B ADRA2C AMIGO1 ANAPC2 ANKRD1 APOE ARHGDIA ASCL1 ATF1 ATOH1 ATP8A2 AVIL BCL11A BCL2 BDNF BHLHB9 BMP2 BMP4 BMP5 BMP6 BMP7 BMPR2 BNIP2 BRINP1 BRINP2 BRINP3 CAMK1 CAMK1D CAMK2B CAPRIN1 CAPRIN2 CBFA2T2 CDKL5 CDON CNR1 CNTN1 COBL CPEB3 CRP CRX CUL7 CUX1 CUX2 CXCL12 DAB1 DAB2IP DCC DIXDC1 DMD DNMT3B DPYSL3 DSCAM DUOXA1 DVL1 ECT2 EPHA3 EPHA4 EPO ETV5 FBXW8 FES FEZ1 FEZF1 FEZF2 FGFR1 FIG4 FKBP1B FN1 FOXA1 FOXA2 FYN GDF5 GDF6 GDF7 GDPD5 GLI2 GPRC5B HEYL HMG20B HOXD3 IFNG IL1RAPL1 IL2 IL6 ILK IRX3 ISLR2 IST1 ITGA3 ITGB1 ITPKA KATNB1 KCTD11 KIDINS220 LIMK1 LIN28A LOC100653515 LPAR1 LPAR3 LRP8 LTK LYN MAGI2 MAP1B MAPK8IP3 MAPT MARK2 MEF2A MEF2C MEGF8 METRN MOB2 NAP1L2 NBL1 NCOA1 NDEL1 NDNF NEFL NEGR1 NEURL1 NEUROD1 NEUROD2 NEUROG1 NEUROG2 NEUROG3 NGF NGFR NKX2-2 NKX2-5 NKX6-1 NLGN1 NME1 NPTN NRCAM NRP1 NTN1 NTRK1 NTRK2 NTRK3 NUMBL OBSL1 PACSIN1 PAFAH1B1 PALM PHOX2B PLK5 PLXNB1 PLXNB2 PRKCI PRKD1 PROX1 PTK2B PTK6 PTK7 PTPRD RAB11A RAP1A RAP1B RAPGEF1 RAPGEF2 RARA RARB RELN RET RGS6 RHOA RND2 ROBO1 ROBO2 SALL1 SCARF1 SCN1B SEMA4D SEMA5A SEMA7A SEZ6 SHANK1 SHANK3 SHOX2 SKIL SLIT2 SMAD1 SOX11 SOX2 SPAG9 SPHK1 STK11 STK25 STMN2 TCF12 TCF3 TCF4 TENM3 TGIF1 TGIF2 TIAM1 TIMP2 TMEM30A TNFRSF12A TRIM32 TRIM67 TRPV2 TWF2 UBE2V2 UTRN VEGFA VLDLR VWC2 VWC2L WNT3 WNT3A WNT5A ZEB1
regulation of osteoblast differentiation	ACVR1 ACVR2A ACVR2B APC AREG ATP6AP1 ATRAID AXIN2 BMP2 BMP4 BMP6 BMP7 BMPR1A BMPR1B BMPR2 CCRN4L CD276 CDK6 CEBPA CEBPB CHRD CITED1 CLIC1 CTHRC1 CTNNB1 CTNNBIP1 CYR61 DDR2 DDX5 DLX5 ESRRA FAM20C FBN2 FGF23 FGFR2 FNDC3B GDF2 GLI3 GNAS HAND2 HDAC4 HDAC5 HDAC7 HEY1 HGF ID1 ID2 ID3 ID4 IFITM1 IGF1 IGFBP5 IL6 IL6R IL6ST ILK JAG1 JUND LIMD1 LRP5 LTF MEF2A MEF2C MEN1 MSX2 NBR1 NELL1 NO66 NOG NOTCH1 NPNT NPPC OSTN PDLIM7 PIAS2 PRKACA PRKD1 PTCH1 PTK2 RASSF2 RORB RUNX2 SEMA4D SFRP1 SFRP2 SKI SMAD1 SMAD3 SMAD5 SMOC1 SNAI2 SOX11 SOX2 SUCO SUFU TNF TOB1 TP63 TWIST1 TWIST2 TWSG1 UCMA WNT10B WNT4 WNT7B ZHX3
negative regulation of osteoblast differentiation	AREG AXIN2 CCRN4L CDK6 CHRD CITED1 FGF23 FNDC3B HAND2 HDAC4 HDAC5 HDAC7 ID1 ID2 ID3 IGFBP5 LIMD1 LRP5 MEN1 NBR1 NO66 NOG NOTCH1 OSTN PTCH1 RORB SEMA4D SFRP1 SKI SMAD3 SOX2 SUFU TNF TOB1 TWIST1 TWIST2 TWSG1 UCMA
positive regulation of osteoblast differentiation	ACVR1 ACVR2A ACVR2B ATP6AP1 ATRAID BMP2 BMP4 BMP6 BMP7 BMPR1A BMPR1B BMPR2 CD276 CEBPA CEBPB CLIC1 CTHRC1 CTNNB1 CTNNBIP1 CYR61 DDR2 DLX5 FAM20C FBN2 GDF2 GLI3 GNAS HEY1 HGF ID4 IFITM1 IGF1 IL6 IL6R IL6ST ILK JAG1 JUND LTF MEF2A MEF2C MEN1 MSX2 NELL1 NPNT NPPC PDLIM7 PRKD1 RUNX2 SFRP2 SMAD1 SMAD5 SOX11 SUCO TP63 WNT10B WNT4 WNT7B ZHX3
regulation of osteoclast differentiation	APC ASXL2 ATP6AP1 BGLAP CA2 CALCA CAMK4 CARTPT CCL3 CCR1 CREB1 CSF1 CTNNB1 ESRRA FAM213A FOS FSHB FSTL3 GNAS GPR55 GPR68 IFNG IL12B IL17A IL20 IL23A IL23R IL4 INPP4B INPP5D KLF10 LILRB1 LILRB3 LILRB4 LRRC17 LTF MITF NF1 OCSTAMP PIK3R1 PPARGC1B RASSF2 SFRP1 SIGLEC15 TFE3 TLR3 TLR4 TMEM64 TNF TNFSF11 TOB2 TRAF6 TYROBP ZNF675
negative regulation of osteoclast differentiation	CALCA CARTPT CCL3 CTNNB1 FSTL3 GPR55 IL4 INPP4B INPP5D LILRB1 LILRB3 LILRB4 LRRC17 LTF NF1 PIK3R1 SFRP1 TLR3 TLR4 TOB2 ZNF675
positive regulation of osteoclast differentiation	ASXL2 ATP6AP1 CA2 CCR1 CREB1 CSF1 FOS GNAS GPR68 IFNG IL12B IL17A IL20 IL23A IL23R KLF10 OCSTAMP PPARGC1B TMEM64 TNF TNFSF11 TRAF6
regulation of epidermis development	ALOX15B AQP3 ATOH1 BMP4 CDH3 CYP27B1 DLL1 ERRFI1 EZH2 FST GAL GDF3 HES1 HEY2 HOXA7 HPSE IL20 KDF1 KEAP1 KRT17 KRT36 KRT84 MAFF MAFG MED1 MSX2 NAB1 NAB2 NCOA3 NGFR NME2 NOTCH1 OVOL2 PPARD PRKCH REG3A REG3G ROCK1 ROCK2 SFN SFRP4 SMAD4 SMO SRSF6 TFAP2C TGFB2 TMEM79 TNF TP63 TRADD TRIM16 VDR WNT10B
negative regulation of epidermis development	CDH3 DLL1 EZH2 GDF3 HES1 HOXA7 MSX2 NGFR OVOL2 REG3A REG3G SMO SRSF6 TP63
positive regulation of epidermis development	ALOX15B ATOH1 BMP4 CYP27B1 FST GAL HPSE IL20 KDF1 KRT17 MED1 MSX2 NCOA3 NME2 NOTCH1 PPARD PRKCH SFN SFRP4 TGFB2 TMEM79 TNF TRADD TRIM16 VDR WNT10B
regulation of glial cell differentiation	ASPA ATF5 BIN1 BMP2 CDK1 CLCF1 CNTN2 CTNNB1 CXCR4 DAB1 DICER1 DLX1 DLX2 DRD3 EPHA4 F2 FGFR3 GPR37L1 GSX2 HDAC2 HES1 HES5 HMGA2 ID2 ID4 IL6ST LIF LIN28A LINGO1 MYCN NF1 NKX2-2 NKX6-1 NKX6-2 NOG NOTCH1 NR2E1 NTF3 NTRK3 OLIG2 PPARG RELA SERPINE2 SHH TCF7L2 TENM4 TLR2 TNFRSF21 TP73 ZNF488
negative regulation of glial cell differentiation	ATF5 CTNNB1 DAB1 DLX1 DLX2 DRD3 F2 FGFR3 GPR37L1 HES1 HES5 HMGA2 ID2 ID4 LIN28A LINGO1 MYCN NF1 NKX6-1 NKX6-2 NOG NOTCH1 NR2E1 NTRK3
positive regulation of glial cell differentiation	ASPA BIN1 BMP2 CLCF1 CXCR4 DICER1 GSX2 HDAC2 HES1 ID2 IL6ST LIF NKX2-2 NKX6-1 NKX6-2 NOTCH1 NTF3 OLIG2 PPARG RELA SERPINE2 SHH TENM4 TLR2 TP73 ZNF488
regulation of low-density lipoprotein particle receptor biosynthetic process	ADIPOQ CNPY2 FGF21 HNRNPK ITGAV ITGB3 SCAP SEC24A
negative regulation of fatty acid biosynthetic process	ACADL ACADVL APOC1 APOC3 BRCA1 INSIG1 INSIG2 SIRT1 TRIB3 WDTC1
negative regulation of glycogen biosynthetic process	ENPP1 GFPT1 GRB10 GSK3A GSK3B INPP5K PASK VIMP
negative regulation of gluconeogenesis	ADIPOQ C1QTNF3 CLK2 FAM132A GCK IL6 INS LEPR SIK1 SOGA1
positive regulation of gluconeogenesis	ARPP19 FOXO1 GCG KAT2A KAT2B PPARA PPARGC1A PTPN2 SMEK1 SMEK2 STK11 TCF7L2 WDR5
positive regulation of fatty acid biosynthetic process	AGT ANXA1 APOA4 APOA5 APOC2 AVP AVPR1A MAPK9 MID1IP1 MLXIPL NR1H2 NR1H3 PTGS2
positive regulation of glycogen biosynthetic process	AKT1 AKT2 C1QTNF2 DYRK2 EPM2AIP1 GCK IGF1 IGF2 INS INSR IRS1 IRS2 PPP1R3G PTH SORBS1
positive regulation of translation	ABCF1 BARHL2 BCL3 BOLL C1QBP CCL5 CD28 CDK4 CIRBP COA3 CPEB3 DAZ1 DAZL DDX3X EEF2 EIF2B5 EIF4A3 EIF4G3 EIF5A EIF5A2 EIF5AL1 ELAVL1 ERBB2 FAM129A GUF1 HNRNPD IL6 ITGA2 KHDRBS1 KRT17 LARP1 LARP4B LIN28A MAPK1 MTOR NPM1 PABPC1 PAIP1 PASK PIWIL2 POLDIP3 POLR2D POLR2G PRR16 PTK2B RBM3 RBMS3 RHOA RPS27L RPS4X RPS6KB1 RPS6KB2 SAMD4A SERP1 SOX4 THBS1 TNF UCN UHMK1 UPF3A UPF3B UQCC1 UQCC2 USP16 WIBG YBX3
respiratory burst	CD24 CD52 CD55 CYBA CYBB HCK MPO NCF1 NCF2 NOX1 PGAM1 PIK3CD PIK3CG SELK SLC11A1 SLC37A4
positive regulation of protein catabolic process	ADAM8 ADAM9 ADRA2A AKT1 APC APOE ASB9 ATG4B ATG7 AURKA AXIN1 BARD1 BBS7 C4BPA C4BPB CAV3 CBLB CDKN1B CLU CREBRF CSNK1D CSNK1E CSNK2A1 CSNK2A3 CTSC CUL3 CUL4B DAB2 DAB2IP DACT1 DISC1 DLGAP5 DNAJB2 DVL1 EGF EGLN2 ESPL1 FBXO22 FBXW7 FOXO1 FURIN FZR1 GCLC GGA1 GGA3 GJA1 GNB2L1 GPC3 GPLD1 GSK3A GSK3B HSPBP1 IER3 IFNG IL1B IL33 KCNE2 KEAP1 LPCAT1 LRRK2 MAPK15 MDM2 MYLIP NDFIP1 NDUFA13 NEDD4 NEDD4L NKD1 NKD2 NRD1 NSMCE2 NUB1 OAZ1 OAZ2 OAZ3 OSBPL7 PACSIN3 PARK2 PIAS1 PLK1 PLK2 PLK3 PPP2R3A PRICKLE1 PSEN1 PSMD10 PTEN PTK2 RB1 RCHY1 RFWD2 RHBDD1 RHBDD3 RNF180 SGSM3 SH3D19 SIRT2 SMAD7 SMC5 SNX1 SNX33 SNX9 SOCS4 SOCS5 SORL1 SOX17 SOX9 STUB1 SUMO1 SUMO2 SUMO3 TAF1 TIPARP TNF TNFAIP3 TNFRSF1B TRIB1 TRIB2 TRIM32 TRIM67 UBE2V2 UQCC2 USP5 VCP VIP WNT5A XBP1 ZFAND2A ZNF227 ZNF268
negative regulation of cyclin-dependent protein serine/threonine kinase activity	APC CASP3 CDK5RAP1 CDKN1A CDKN1B CDKN2A FBXO7 HEXIM1 HEXIM2 HHEX INCA1 KAT2B LATS1 LATS2 MEN1 MYOCD NR2F2 PLK1 PTEN TFAP4 TNFAIP3 WEE2
positive regulation of cyclin-dependent protein serine/threonine kinase activity	ADAM17 AKT1 CCND1 CCND2 CCND3 CCNY EGFR FGF10 HSPA2 MAPRE3 PDGFB PIM1 PKD1 PKD2 PROX1 PSMD10 PSRC1 RGCC SPDYA
negative regulation of DNA repair	HMGA2 OTUB1 PARPBP RNF169 RPS3 TRIP12 TWIST1 UBR5
positive regulation of DNA repair	APEX1 BABAM1 BRCA1 BRCC3 BRE CEBPG EGFR ERCC8 EYA1 EYA3 FAM175A FGF10 FOXM1 H2AFX M0QXG9 MGMT NPAS2 NUDT16 PRKCG RNF168 RNF8 SETMAR SIRT1 SPIDR TMEM161A TRIM28 UBE2N UBE2V2 UIMC1
positive regulation of DNA replication	ACD AREG ATF1 ATRX BMP4 BMP5 BMP6 CACYBP CALR CDC42 CDC7 CDK1 CDK2 CIZ1 CSF2 CST3 CTC1 DBF4B DNA2 E2F7 E2F8 EGFR EPO EREG FGF10 GLI1 GLI2 GREM1 HRAS IGF1 IGF1R IL3 IL6 INO80 INS INSR JUN KCTD13 KITLG MAP2K4 MAS1 NPM2 OBFC1 PARM1 PDGFA PDGFB PDGFC PDGFRA PLA2G1B POT1 RAC1 SHC1 STOML2 TGFB3 TNFAIP1 TNKS TNKS2 UCN WIZ WRAP53
positive regulation of epidermal growth factor-activated receptor activity	ADAM17 ADORA1 ADRA2A ADRA2B ADRA2C EGF EPGN EREG FBXW7 NEURL1 TGFA
positive regulation of epidermal growth factor receptor signaling pathway	ADAM17 ADORA1 ADRA2A ADRA2B ADRA2C AFAP1L2 AGT EGF EPGN EREG FASLG FBXW7 GPER1 HAP1 NEURL1 NUP62 PDE6G PDE6H SOS1 TGFA
negative regulation of G-protein coupled receptor protein signaling pathway	ADA ADRA2A ADRB2 ADRB3 ADRBK1 ADRBK2 AKAP10 ARHGEF1 ARHGEF11 ARHGEF12 ARRB2 ATP2B4 AXIN1 AXIN2 BECN1P1 BICD1 CCL5 CRY1 CXCL8 DRD2 DRD3 GIPR GPRASP1 GRK1 GRK4 GRK5 GRK6 GRK7 GRM5 KLK14 MGRN1 MYH9 PALM PLEK RGS1 RGS10 RGS11 RGS12 RGS13 RGS14 RGS16 RGS17 RGS18 RGS19 RGS2 RGS20 RGS21 RGS22 RGS3 RGS4 RGS5 RGS6 RGS7 RGS8 RGS9 RGSL1 RPGRIP1L RPH3AL SNCA SNX13 SNX14 SNX25
positive regulation of G-protein coupled receptor protein signaling pathway	ACPP ARRDC3 C3 CAV2 CNTN2 DRD2 DRD3 F2 GPER1 GSK3A KLK14 KLK5 KLK6 LRRK2 PDE6G PDE6H PTGDR2 TMOD2
negative regulation of Notch signaling pathway	BMP7 CHAC1 DLK1 DLK2 DLX1 DLX2 EGFL7 FBXW7 GATA2 GDPD5 HEY1 HEY2 HIF1AN MAGEA1 MEG3 NEURL1 NFKBIA NRARP NUMB OVOL2 RITA1 SLC35C1
positive regulation of Notch signaling pathway	AAK1 ASCL1 C3ORF17 DLL1 EYA1 FGF10 GSX2 HES1 HES5 ITGB1BP1 JAG1 KIT LFNG MESP1 MFNG NOD2 RFNG SLC35C2 SOX2 STAT3 TP63 TSPAN14 TSPAN5 WNT1
positive regulation of action potential	ADRA1A ANK3 KCNIP1 NPS SCN5A SLC9A1 TAC1 TACR1
regulation of adenylate cyclase activity	ACR ADCYAP1 ADCYAP1R1 ADORA2A ADORA2B ADORA3 ADRA2A ADRB1 ADRB2 ADRB3 AVPR2 CALCA CALCR CALM1 CALM3 CAP1 CAP2 CCR2 CRHR1 DRD1 DRD2 DRD3 DRD4 DRD5 EDNRA EDNRB GABBR1 GABBR2 GALR1 GALR2 GALR3 GHRHR GIPR GLP1R GNAI2 GNAI3 GNAL GNAS GNG7 GPER1 GPR87 GRM2 GRM3 GRM7 HRH3 LHCGR LOC100653515 LTB4R2 NF1 NPFFR2 NPR3 NTRK1 NTRK2 OPRM1 P2RY11 P2RY13 PALM PRKCA RAF1 TIMP2 VIP VIPR2
positive regulation of adenylate cyclase activity	ACR ADCYAP1 ADCYAP1R1 ADORA2A ADORA2B ADORA3 ADRB1 ADRB2 ADRB3 AVPR2 CALCA CALCR CALM1 CALM3 CAP1 CAP2 CRHR1 DRD1 DRD5 EDNRA GHRHR GIPR GLP1R GNAL GNAS GPER1 LHCGR LOC100653515 NF1 NTRK1 NTRK2 P2RY11 PRKCA RAF1 TIMP2 VIP VIPR2
regulation of angiogenesis	ACVRL1 ADD1 ADM ADM2 AGGF1 AGT ALOX12 AMOT ANGPT2 ANGPT4 ANGPTL3 ANGPTL4 ANXA3 APOH AQP1 BAI1 BAI2 BAI3 BRCA1 BTG1 C3 C3AR1 C5 CAMP CCBE1 CCL11 CCL2 CCL24 CCR2 CCR3 CD34 CHI3L1 CHRNA7 CIB1 CMA1 COL4A2 COL4A3 CRHR2 CTNNB1 CTSH CX3CL1 CX3CR1 CXCL10 CXCL13 CXCR3 CYP1B1 CYSLTR2 DAB2IP DDAH1 DLL4 ECM1 EFNA1 EGLN1 EMP2 EPHA1 EPHA2 ERAP1 ERBB2 ETS1 F3 FASLG FGF1 FGF2 FLT1 FOXC2 FOXO4 GATA2 GATA4 GATA6 GDF2 GHRL GPR124 GTF2I HDAC5 HDAC7 HDAC9 HHEX HIF1A HIPK1 HIPK2 HMOX1 HOXA5 HRG HSPB1 HTATIP2 HYAL1 ID1 IL17F IL1A IL1B IL6 ISL1 ITGB1BP1 KDR KLF4 KLK3 KRIT1 KRT1 LECT1 LRG1 MAP2K5 MAPK7 MEG3 MMRN2 MTDH NF1 NODAL NOS3 NOTCH1 NPPB NPR1 NR2E1 NTRK1 OPTC PDCD6 PDCL3 PDE3B PF4 PGF PIK3R6 PLCG1 PLXND1 PML PRKCA PRKCB PRKD1 PRKD2 PROK1 PTGIS PTGS2 PTPRM RAMP2 RAPGEF3 RGCC RHOB RNH1 ROCK1 ROCK2 RRAS RUNX1 SASH1 SEMA3E SEMA4A SEMA5A SERPINE1 SERPINF1 SFRP1 SFRP2 SP100 SPARC SPHK1 SPINK5 SRPX2 STAB1 STAT1 SULF1 TBXA2R TEK TGFBR2 THBS1 THBS2 THBS4 TIE1 TNFAIP3 TNFRSF12A TNFRSF1A TNFSF12 TNMD TSPAN12 TWIST1 UTS2 UTS2R VASH1 VASH2 VEGFA VEGFB VEGFC WARS WNT5A
positive regulation of angiogenesis	ACVRL1 ADD1 ADM ADM2 AGGF1 ALOX12 ANGPT2 ANGPT4 ANGPTL3 ANGPTL4 ANXA3 AQP1 BRCA1 BTG1 C3 C3AR1 C5 CAMP CCBE1 CCL11 CCL24 CCR3 CD34 CHI3L1 CHRNA7 CIB1 CMA1 CTSH CX3CL1 CX3CR1 CXCR3 CYP1B1 CYSLTR2 DDAH1 ECM1 EPHA1 ERAP1 ETS1 F3 FGF1 FGF2 FLT1 FOXC2 GATA2 GATA4 GATA6 GDF2 HDAC7 HDAC9 HIF1A HIPK1 HIPK2 HMOX1 HSPB1 HYAL1 IL1A IL1B ISL1 KDR LRG1 MTDH NODAL NOS3 NR2E1 NTRK1 PDCD6 PDCL3 PGF PIK3R6 PLCG1 PRKCA PRKCB PRKD1 PRKD2 PTGIS PTGS2 RAMP2 RAPGEF3 RHOB RRAS RUNX1 SASH1 SEMA5A SERPINE1 SFRP2 SPHK1 SRPX2 TBXA2R TEK TGFBR2 THBS1 TNFRSF1A TNFSF12 TWIST1 UTS2 UTS2R VASH2 VEGFA VEGFB VEGFC WNT5A
positive regulation of axon extension	ANAPC2 APOE BMPR2 CDKL5 CXCL12 DSCAM FN1 ILK ISLR2 LIMK1 MAP1B MAPT MEGF8 NDEL1 NGF NRP1 NTN1 NTRK3 PAFAH1B1 RAB11A SEMA5A SEMA7A TNFRSF12A TRPV2 TWF2 VEGFA
negative regulation of blood pressure	ABAT ADIPOQ ADM2 ADORA1 ADRB1 ADRB2 ADRB3 AGTR2 BBS4 BDKRB1 BMPR2 CALCA CNR1 CRH DRD2 DRD3 DRD5 FFAR3 GCH1 GUCA2B HRH3 IER3 KCNK6 MKKS NEDD4L NOS1 NOS2 NOS3 NPPA OXT PPARA PRCP SCPEP1 SOD2 UCN UTS2 UTS2R VEGFC ZNF227
positive regulation of blood pressure	ADH5 ADIPOQ ADORA1 ADRA1A ADRA2B ADRB1 AGT AVP AVPR1A AVPR2 CARTPT CNR1 CYBA CYP11B2 ENG HSD11B2 ID2 MANF NCF2 NPFF OR51E2 OXT OXTR QRFP SPX TACR1 TACR3 TBXA2R UTS2 UTS2R WNK1
positive regulation of ossification	ACVR1 ACVR2A ACVR2B ADRB2 ASXL2 ATP6AP1 ATRAID BMP2 BMP4 BMP6 BMP7 BMPR1A BMPR1B BMPR2 CALCA CD276 CEBPA CEBPB CLIC1 CTHRC1 CTNNB1 CTNNBIP1 CYR61 DDR2 DLX5 FAM20C FBN2 GDF2 GLI3 GNAS GPM6B HEY1 HGF ID4 IFITM1 IGF1 IL6 IL6R IL6ST ILK JAG1 JUND KL LRP6 LTF MEF2A MEF2C MEN1 MIA3 MSX2 NELL1 NIPBL NPNT NPPC OSR1 OSR2 OXT P2RX7 PDLIM7 PKDCC PRKD1 PTH RUNX2 SFRP2 SMAD1 SMAD3 SMAD5 SOX11 SUCO TAC1 TACR1 TFAP2A TGFB1 TGFB2 TGFB3 TOB2 TP63 WNT10B WNT4 WNT5A WNT7B ZBTB16 ZHX3
negative regulation of bone resorption	CALCA CARTPT CD38 CSK IAPP INPP5D P2RX7 TNFAIP3 TNFRSF11B VEGFA
positive regulation of bone resorption	ADAM8 ATP6AP1 CA2 DCSTAMP FSHB LRP6 LTBP3 MC4R PPARGC1B SPP1 SYK TFRC TMEM64 TNFSF11
positive regulation of cell adhesion	ABI3BP ADAM8 ADAM9 ALOX12 ALOX15 ANGPT1 ANK3 APC APOA1 ARHGEF7 ARL2 ARPC2 AZU1 BAG4 BMP7 BRAF C1QBP CALR CCDC80 CCL21 CCL25 CCL28 CCL5 CCR7 CD36 CD44 CD47 CDC42 CDH13 CDK6 CHRD CIB1 CITED2 COL26A1 COL8A1 CSF1 CX3CL1 CXCL12 CXCL13 CYR61 CYTH3 DAB2 DENND6A DMD DMP1 DMTN DUSP26 ECM2 EDIL3 EGFL6 EGFLAM EMILIN1 EMP2 EPB41L5 EPHA1 ERBB2 FBLN2 FGA FGB FGG FLCN FOXA1 FOXA2 FOXC2 FOXF1 FSTL3 GCNT2 GPR56 GSK3B HAS2 HRG HSD17B12 HYAL1 IFNG IFT74 IL12A IL12B IL1B ILK ITGA2 ITGA3 ITGA5 ITGA6 ITGAL ITGAV ITGB1 ITGB1BP1 JAK2 KDR KIF26B KIFAP3 L1CAM LDB1 LEF1 LGALS1 LIMS1 LRRC16A MYADM MYO10 MYOC NCKAP1L NDNF NET1 NID1 NINJ1 NODAL NPNT NPY2R NRG1 OLFM4 PIEZO1 PLEKHA2 PODXL PPM1F PREX1 PRKCA PRKCE PRKCZ PRKD2 PRSS2 PTK2B PTPN23 PTPN6 PTPRJ RAC1 RAC3 RELL2 RET RHOA RHOD RNASE10 ROCK1 RSU1 S100A10 SAA1 SDC4 SERPINF2 SFRP1 SFRP2 SIRPG SMAD3 SMAD7 SMOC1 SMOC2 SPOCK2 SPP1 SYK TBX18 TDGF1 TEK TFE3 TGFB2 TGM2 THBS1 TMEM102 TNF TNFSF11 TPM1 TRIOBP TSC1 UTRN VAV1 VAV3 VEGFA VEGFC VIT VTN VWC2 WNT3A WNT4 WNT5A
negative regulation of cell cycle	ABL1 ADCYAP1 AK1 ALOX15B ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC5 ANAPC7 APBB1 APBB2 APC ATF2 ATM AURKA AURKAIP1 AURKB BARD1 BCL2 BCL2L1 BLM BMP2 BMP4 BMP7 BRCA1 BRD4 BRD7 BRINP1 BRINP2 BRINP3 BTG3 BTG4 BUB1 BUB1B BUB3 C10ORF90 CAB39 CAB39L CALR CASP2 CASP3 CCNA2 CCNB1 CCND1 CCNF CCNG1 CCNK CDC123 CDC16 CDC20 CDC23 CDC26 CDC27 CDC5L CDC73 CDK1 CDK2 CDK4 CDK5 CDK5RAP1 CDK5RAP2 CDK6 CDK7 CDK9 CDKN1A CDKN1B CDKN1C CDKN2A CDKN2B CDKN2C CDKN2D CDKN3 CENPF CGREF1 CGRRF1 CHEK1 CHEK2 CHFR CHMP4C CLSPN CRADD CREB3 CSNK2A1 CSNK2A2 CUL1 CUL2 CUL3 CUL4A CUL5 CXCL8 DAB2IP DACT1 DDIAS DDIT3 DDX39B DGKZ DHCR24 DKFZP781B1423 DLG1 DMRT1 DST DUSP1 DUX4 E2F7 E2F8 E4F1 EGFR EIF4G2 ERN1 ERN2 ESPL1 ETS1 EZH2 FAP FBXO31 FBXO43 FBXO5 FBXO7 FBXW7 FGF10 FGFR2 FGFR3 FHL1 FOXC1 FOXN3 FOXO4 GADD45A GAS1 GAS2 GAS2L1 GAS2L2 GAS2L3 GAS6 GAS7 GATA3 GIGYF2 GML GMNN GPER1 GSG2 GTSE1 H2AFY H3BNH8 HBP1 HDAC1 HDAC2 HDAC3 HEPACAM HEXIM1 HEXIM2 HHEX HMGA2 HORMAD1 HPGD HRAS HTRA2 HUS1 IER3 IFNG IFNW1 IL12A IL12B ILK INCA1 ING4 INHA INHBA INTS3 IRF1 IRF6 JADE1 JMY KANK2 KAT2B KHDRBS1 KIF20B KLHL22 KMT2E KNTC1 LATS1 LATS2 LIF LILRB1 LOC100653515 MACF1 MAD1L1 MAD2L1 MAD2L1BP MAD2L2 MAGI2 MAP2K1 MAP2K6 MAPK12 MBD4 MDC1 MDM2 MDM4 MEN1 MFN2 MIF MLF1 MLXIPL MOS MRE11A MSH2 MTBP MUC1 MYC MYO16 MYOCD NABP1 NABP2 NACC2 NAE1 NANOS2 NBN NEK11 NGF NGFR NKX3-1 NLE1 NME6 NOTCH2 NPM1 NPPC NPR2 NR2F2 NUBP1 NUPR1 OSM OVOL1 PA2G4 PCBP4 PDCD4 PHOX2B PIDD1 PKD1 PKD2 PLA2G16 PLAGL1 PLK1 PLK2 PLK3 PML PNPT1 PPM1A PPM1G PPP1R13B PPP1R15A PPP1R9B PPP2R3B PPP2R5C PRCC PRDM4 PRKAA1 PRKAA2 PRKAB1 PRKAB2 PRKACB PRKAG1 PRKAG2 PRKAG3 PRKAR1A PRKDC PRMT2 PRNP PRPF19 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSME4 PSMF1 PSMG2 PTEN PTGS2 PTPN3 PTPRK RAD1 RAD17 RAD9A RASSF1 RB1 RBM38 RFWD2 RFWD3 RGCC RHEB RHOB RNF167 RPA2 RPL24 RPRM RPS27A RPS27L RPS6 RPS6KA2 RPTOR RUNX3 SART1 SCRIB SESN1 SETMAR SGSM3 SIPA1 SKIL SLFN11 SMAD3 SMARCA4 SMC1A SMC3 SOX11 SOX2 SOX4 STAG2 STK11 STRA8 STRADA STRADB SYF2 TAF6 TAOK3 TBRG1 TBRG4 TCF7L2 TERF1 TERF2 TEX14 TFAP4 TGFB1 TGFB2 TGFBR1 THAP5 THBS1 THOC1 THOC5 TICRR TIMP2 TIPIN TMEM67 TNFAIP3 TOM1L1 TOM1L2 TOP2A TOP2B TP53 TP53BP2 TP53INP1 TP63 TP73 TPR TRIAP1 TRIM35 TRIM37 TRRAP TSC1 TSC2 TSG101 TSPYL2 TTK UBA52 UBB UBC UBE2C UBE2D1 UBE2E1 UHMK1 USP17L2 USP44 USP47 VASH1 VPS4A WAPAL WDR6 WEE2 WNT10B WNT9A XPC ZAK ZBTB17 ZC3H12D ZFHX3 ZFYVE19 ZNF207 ZNF268 ZNF655 ZNHIT1 ZW10 ZWILCH ZWINT
